No arguments are passed. Using default.
TRAINING IMAGE CLASSIFIER ON 17995 images in 10 CATEGORIES
Extracting image features from full data set.
Analyzing and extracting image features.
+------------------+--------------+------------------+
| Images Processed | Elapsed Time | Percent Complete |
+------------------+--------------+------------------+
| 1                | 9.92s        | 0%               |
| 2                | 10.18s       | 0%               |
| 3                | 10.41s       | 0%               |
| 4                | 10.62s       | 0%               |
| 5                | 10.82s       | 0%               |
| 10               | 11.97s       | 0%               |
| 25               | 14.67s       | 0%               |
| 50               | 19.18s       | 0.25%            |
| 75               | 23.72s       | 0.25%            |
| 100              | 28.26s       | 0.5%             |
| 125              | 32.89s       | 0.5%             |
| 150              | 37.55s       | 0.75%            |
| 175              | 42.12s       | 0.75%            |
| 200              | 46.71s       | 1%               |
| 225              | 51.25s       | 1.25%            |
| 250              | 55.78s       | 1.25%            |
| 275              | 1m 0s        | 1.5%             |
| 300              | 1m 5s        | 1.5%             |
| 325              | 1m 9s        | 1.75%            |
| 350              | 1m 14s       | 1.75%            |
| 375              | 1m 18s       | 2%               |
| 400              | 1m 23s       | 2%               |
| 425              | 1m 27s       | 2.25%            |
| 450              | 1m 32s       | 2.5%             |
| 475              | 1m 37s       | 2.5%             |
| 500              | 1m 41s       | 2.75%            |
| 525              | 1m 46s       | 2.75%            |
| 550              | 1m 51s       | 3%               |
| 575              | 1m 56s       | 3%               |
| 600              | 2m 0s        | 3.25%            |
| 625              | 2m 5s        | 3.25%            |
| 650              | 2m 9s        | 3.5%             |
| 675              | 2m 14s       | 3.75%            |
| 700              | 2m 18s       | 3.75%            |
| 725              | 2m 23s       | 4%               |
| 750              | 2m 28s       | 4%               |
| 775              | 2m 32s       | 4.25%            |
| 800              | 2m 37s       | 4.25%            |
| 825              | 2m 42s       | 4.5%             |
| 850              | 2m 46s       | 4.5%             |
| 875              | 2m 51s       | 4.75%            |
| 900              | 2m 56s       | 5%               |
| 925              | 3m 0s        | 5%               |
| 950              | 3m 5s        | 5.25%            |
| 975              | 3m 10s       | 5.25%            |
| 1000             | 3m 14s       | 5.5%             |
| 1025             | 3m 19s       | 5.5%             |
| 1050             | 3m 24s       | 5.75%            |
| 1075             | 3m 28s       | 5.75%            |
| 1100             | 3m 33s       | 6%               |
| 1125             | 3m 37s       | 6.25%            |
| 1150             | 3m 42s       | 6.25%            |
| 1175             | 3m 46s       | 6.5%             |
| 1200             | 3m 51s       | 6.5%             |
| 1225             | 3m 55s       | 6.75%            |
| 1250             | 4m 0s        | 6.75%            |
| 1275             | 4m 4s        | 7%               |
| 1300             | 4m 9s        | 7%               |
| 1325             | 4m 13s       | 7.25%            |
| 1350             | 4m 18s       | 7.5%             |
| 1375             | 4m 22s       | 7.5%             |
| 1400             | 4m 27s       | 7.75%            |
| 1425             | 4m 31s       | 7.75%            |
| 1450             | 4m 36s       | 8%               |
| 1475             | 4m 40s       | 8%               |
| 1500             | 4m 45s       | 8.25%            |
| 1525             | 4m 49s       | 8.25%            |
| 1550             | 4m 54s       | 8.5%             |
| 1575             | 4m 58s       | 8.75%            |
| 1600             | 5m 3s        | 8.75%            |
| 1625             | 5m 7s        | 9%               |
| 1650             | 5m 12s       | 9%               |
| 1675             | 5m 16s       | 9.25%            |
| 1700             | 5m 21s       | 9.25%            |
| 1725             | 5m 25s       | 9.5%             |
| 1750             | 5m 30s       | 9.5%             |
| 1775             | 5m 34s       | 9.75%            |
| 1800             | 5m 39s       | 10%              |
| 1825             | 5m 43s       | 10%              |
| 1850             | 5m 48s       | 10.25%           |
| 1875             | 5m 52s       | 10.25%           |
| 1900             | 5m 57s       | 10.5%            |
| 1925             | 6m 1s        | 10.5%            |
| 1950             | 6m 5s        | 10.75%           |
| 1975             | 6m 10s       | 10.75%           |
| 2000             | 6m 15s       | 11%              |
| 2025             | 6m 19s       | 11.25%           |
| 2050             | 6m 24s       | 11.25%           |
| 2075             | 6m 28s       | 11.5%            |
| 2100             | 6m 32s       | 11.5%            |
| 2125             | 6m 37s       | 11.75%           |
| 2150             | 6m 41s       | 11.75%           |
| 2175             | 6m 46s       | 12%              |
| 2200             | 6m 50s       | 12%              |
| 2225             | 6m 55s       | 12.25%           |
| 2250             | 6m 59s       | 12.5%            |
| 2275             | 7m 4s        | 12.5%            |
| 2300             | 7m 8s        | 12.75%           |
| 2325             | 7m 13s       | 12.75%           |
| 2350             | 7m 17s       | 13%              |
| 2375             | 7m 22s       | 13%              |
| 2400             | 7m 26s       | 13.25%           |
| 2425             | 7m 31s       | 13.25%           |
| 2450             | 7m 35s       | 13.5%            |
| 2475             | 7m 40s       | 13.75%           |
| 2500             | 7m 44s       | 13.75%           |
| 2525             | 7m 49s       | 14%              |
| 2550             | 7m 53s       | 14%              |
| 2575             | 7m 58s       | 14.25%           |
| 2600             | 8m 2s        | 14.25%           |
| 2625             | 8m 7s        | 14.5%            |
| 2650             | 8m 11s       | 14.5%            |
| 2675             | 8m 16s       | 14.75%           |
| 2700             | 8m 20s       | 15%              |
| 2725             | 8m 25s       | 15%              |
| 2750             | 8m 29s       | 15.25%           |
| 2775             | 8m 34s       | 15.25%           |
| 2800             | 8m 38s       | 15.5%            |
| 2825             | 8m 43s       | 15.5%            |
| 2850             | 8m 47s       | 15.75%           |
| 2875             | 8m 52s       | 15.75%           |
| 2900             | 8m 56s       | 16%              |
| 2925             | 9m 1s        | 16.25%           |
| 2950             | 9m 5s        | 16.25%           |
| 2975             | 9m 10s       | 16.5%            |
| 3000             | 9m 14s       | 16.5%            |
| 3025             | 9m 19s       | 16.75%           |
| 3050             | 9m 23s       | 16.75%           |
| 3075             | 9m 28s       | 17%              |
| 3100             | 9m 32s       | 17%              |
| 3125             | 9m 37s       | 17.25%           |
| 3150             | 9m 41s       | 17.5%            |
| 3175             | 9m 46s       | 17.5%            |
| 3200             | 9m 50s       | 17.75%           |
| 3225             | 9m 55s       | 17.75%           |
| 3250             | 9m 59s       | 18%              |
| 3275             | 10m 4s       | 18%              |
| 3300             | 10m 8s       | 18.25%           |
| 3325             | 10m 13s      | 18.25%           |
| 3350             | 10m 17s      | 18.5%            |
| 3375             | 10m 22s      | 18.75%           |
| 3400             | 10m 26s      | 18.75%           |
| 3425             | 10m 31s      | 19%              |
| 3450             | 10m 35s      | 19%              |
| 3475             | 10m 40s      | 19.25%           |
| 3500             | 10m 44s      | 19.25%           |
| 3525             | 10m 49s      | 19.5%            |
| 3550             | 10m 53s      | 19.5%            |
| 3575             | 10m 58s      | 19.75%           |
| 3600             | 11m 2s       | 20%              |
| 3625             | 11m 7s       | 20%              |
| 3650             | 11m 11s      | 20.25%           |
| 3675             | 11m 16s      | 20.25%           |
| 3700             | 11m 20s      | 20.5%            |
| 3725             | 11m 25s      | 20.5%            |
| 3750             | 11m 29s      | 20.75%           |
| 3775             | 11m 34s      | 20.75%           |
| 3800             | 11m 38s      | 21%              |
| 3825             | 11m 43s      | 21.25%           |
| 3850             | 11m 47s      | 21.25%           |
| 3875             | 11m 52s      | 21.5%            |
| 3900             | 11m 56s      | 21.5%            |
| 3925             | 12m 1s       | 21.75%           |
| 3950             | 12m 5s       | 21.75%           |
| 3975             | 12m 10s      | 22%              |
| 4000             | 12m 14s      | 22%              |
| 4025             | 12m 19s      | 22.25%           |
| 4050             | 12m 23s      | 22.5%            |
| 4075             | 12m 28s      | 22.5%            |
| 4100             | 12m 32s      | 22.75%           |
| 4125             | 12m 37s      | 22.75%           |
| 4150             | 12m 41s      | 23%              |
| 4175             | 12m 46s      | 23%              |
| 4200             | 12m 50s      | 23.25%           |
| 4225             | 12m 55s      | 23.25%           |
| 4250             | 12m 59s      | 23.5%            |
| 4275             | 13m 4s       | 23.75%           |
| 4300             | 13m 8s       | 23.75%           |
| 4325             | 13m 13s      | 24%              |
| 4350             | 13m 17s      | 24%              |
| 4375             | 13m 22s      | 24.25%           |
| 4400             | 13m 26s      | 24.25%           |
| 4425             | 13m 31s      | 24.5%            |
| 4450             | 13m 35s      | 24.5%            |
| 4475             | 13m 40s      | 24.75%           |
| 4500             | 13m 44s      | 25%              |
| 4525             | 13m 49s      | 25%              |
| 4550             | 13m 53s      | 25.25%           |
| 4575             | 13m 58s      | 25.25%           |
| 4600             | 14m 2s       | 25.5%            |
| 4625             | 14m 7s       | 25.5%            |
| 4650             | 14m 11s      | 25.75%           |
| 4675             | 14m 16s      | 25.75%           |
| 4700             | 14m 20s      | 26%              |
| 4725             | 14m 25s      | 26.25%           |
| 4750             | 14m 29s      | 26.25%           |
| 4775             | 14m 34s      | 26.5%            |
| 4800             | 14m 38s      | 26.5%            |
| 4825             | 14m 43s      | 26.75%           |
| 4850             | 14m 47s      | 26.75%           |
| 4875             | 14m 52s      | 27%              |
| 4900             | 14m 56s      | 27%              |
| 4925             | 15m 1s       | 27.25%           |
| 4950             | 15m 5s       | 27.5%            |
| 4975             | 15m 10s      | 27.5%            |
| 5000             | 15m 14s      | 27.75%           |
| 5025             | 15m 19s      | 27.75%           |
| 5050             | 15m 23s      | 28%              |
| 5075             | 15m 28s      | 28%              |
| 5100             | 15m 32s      | 28.25%           |
| 5125             | 15m 37s      | 28.25%           |
| 5150             | 15m 41s      | 28.5%            |
| 5175             | 15m 46s      | 28.75%           |
| 5200             | 15m 50s      | 28.75%           |
| 5225             | 15m 55s      | 29%              |
| 5250             | 15m 59s      | 29%              |
| 5275             | 16m 4s       | 29.25%           |
| 5300             | 16m 8s       | 29.25%           |
| 5325             | 16m 13s      | 29.5%            |
| 5350             | 16m 17s      | 29.5%            |
| 5375             | 16m 22s      | 29.75%           |
| 5400             | 16m 26s      | 30%              |
| 5425             | 16m 31s      | 30%              |
| 5450             | 16m 35s      | 30.25%           |
| 5475             | 16m 40s      | 30.25%           |
| 5500             | 16m 44s      | 30.5%            |
| 5525             | 16m 49s      | 30.5%            |
| 5550             | 16m 53s      | 30.75%           |
| 5575             | 16m 58s      | 30.75%           |
| 5600             | 17m 2s       | 31%              |
| 5625             | 17m 7s       | 31.25%           |
| 5650             | 17m 11s      | 31.25%           |
| 5675             | 17m 16s      | 31.5%            |
| 5700             | 17m 20s      | 31.5%            |
| 5725             | 17m 25s      | 31.75%           |
| 5750             | 17m 29s      | 31.75%           |
| 5775             | 17m 34s      | 32%              |
| 5800             | 17m 38s      | 32%              |
| 5825             | 17m 43s      | 32.25%           |
| 5850             | 17m 47s      | 32.5%            |
| 5875             | 17m 52s      | 32.5%            |
| 5900             | 17m 57s      | 32.75%           |
| 5925             | 18m 1s       | 32.75%           |
| 5950             | 18m 6s       | 33%              |
| 5975             | 18m 10s      | 33%              |
| 6000             | 18m 15s      | 33.25%           |
| 6025             | 18m 19s      | 33.25%           |
| 6050             | 18m 24s      | 33.5%            |
| 6075             | 18m 28s      | 33.75%           |
| 6100             | 18m 33s      | 33.75%           |
| 6125             | 18m 37s      | 34%              |
| 6150             | 18m 42s      | 34%              |
| 6175             | 18m 46s      | 34.25%           |
| 6200             | 18m 51s      | 34.25%           |
| 6225             | 18m 55s      | 34.5%            |
| 6250             | 19m 0s       | 34.5%            |
| 6275             | 19m 4s       | 34.75%           |
| 6300             | 19m 9s       | 35%              |
| 6325             | 19m 13s      | 35%              |
| 6350             | 19m 18s      | 35.25%           |
| 6375             | 19m 22s      | 35.25%           |
| 6400             | 19m 27s      | 35.5%            |
| 6425             | 19m 31s      | 35.5%            |
| 6450             | 19m 36s      | 35.75%           |
| 6475             | 19m 40s      | 35.75%           |
| 6500             | 19m 45s      | 36%              |
| 6525             | 19m 49s      | 36.25%           |
| 6550             | 19m 54s      | 36.25%           |
| 6575             | 19m 58s      | 36.5%            |
| 6600             | 20m 3s       | 36.5%            |
| 6625             | 20m 8s       | 36.75%           |
| 6650             | 20m 12s      | 36.75%           |
| 6675             | 20m 17s      | 37%              |
| 6700             | 20m 21s      | 37%              |
| 6725             | 20m 26s      | 37.25%           |
| 6750             | 20m 30s      | 37.5%            |
| 6775             | 20m 35s      | 37.5%            |
| 6800             | 20m 39s      | 37.75%           |
| 6825             | 20m 44s      | 37.75%           |
| 6850             | 20m 48s      | 38%              |
| 6875             | 20m 53s      | 38%              |
| 6900             | 20m 57s      | 38.25%           |
| 6925             | 21m 2s       | 38.25%           |
| 6950             | 21m 6s       | 38.5%            |
| 6975             | 21m 11s      | 38.75%           |
| 7000             | 21m 15s      | 38.75%           |
| 7025             | 21m 20s      | 39%              |
| 7050             | 21m 24s      | 39%              |
| 7075             | 21m 29s      | 39.25%           |
| 7100             | 21m 33s      | 39.25%           |
| 7125             | 21m 38s      | 39.5%            |
| 7150             | 21m 42s      | 39.5%            |
| 7175             | 21m 47s      | 39.75%           |
| 7200             | 21m 51s      | 40%              |
| 7225             | 21m 56s      | 40%              |
| 7250             | 22m 0s       | 40.25%           |
| 7275             | 22m 5s       | 40.25%           |
| 7300             | 22m 9s       | 40.5%            |
| 7325             | 22m 14s      | 40.5%            |
| 7350             | 22m 18s      | 40.75%           |
| 7375             | 22m 23s      | 40.75%           |
| 7400             | 22m 27s      | 41%              |
| 7425             | 22m 32s      | 41.25%           |
| 7450             | 22m 36s      | 41.25%           |
| 7475             | 22m 41s      | 41.5%            |
| 7500             | 22m 45s      | 41.5%            |
| 7525             | 22m 50s      | 41.75%           |
| 7550             | 22m 54s      | 41.75%           |
| 7575             | 23m 2s       | 42%              |
